,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Province du Boulgou,BF,77.28800000000004,scattered clouds,11.218663450339122,-0.6469941557633518,Zourma (Village Bissa)
14,Andranomena,MG,74.87600000000009,broken clouds,-23.466552135866166,43.85512595074599,villa KOTOBE
22,Kom Ombo,EG,72.608,broken clouds,24.42594376697185,33.05348020743189,مصطفى حجازي و حمادة حلمي
42,San José,CO,71.042,light rain,1.6955039798064604,-78.22170078895577,Hotel San Jose
50,Mbutuý,PY,70.89800000000002,overcast clouds,-24.98832813604747,-56.25207786316659,LB Vy'aha
54,Ferkessédougou,CI,75.83000000000004,scattered clouds,9.632438407833805,-5.211122097746639,Sany’s Immo
59,Ndjolé,GA,73.31000000000009,overcast clouds,-0.1792366803338438,10.76831116706417,Hotel Kevazingo
61,Minţaqat al Maţār,AE,72.266,clear sky,24.61268008784737,54.67697164792338,Tulip Inn Hotel - AlRahba
70,Boa Vista,BR,80.816,scattered clouds,2.868537071335666,-60.61693291347456,Cruviana Backpackers Hostel
91,Itaguaru,BR,71.02400000000002,light rain,-15.78702125214619,-49.81619275891752,Trindade atlético clube
107,Ladário,BR,75.27200000000003,overcast clouds,-19.39296416831783,-57.03613667964436,Pousada Arara Azul - Pantanal sul
114,Aguachica,CO,76.46000000000008,overcast clouds,8.154303918429562,-73.6144390174799,Hospedaje Mas x Menos
120,Tonantins,BR,74.858,overcast clouds,-2.8914302462183343,-67.7696157659402,Hotel Rei Davi
124,Murgūd,IN,70.39400000000008,overcast clouds,16.479991769174205,74.0481031199123,Radhanagari Tourism
127,Tacaratu,BR,74.408,overcast clouds,-9.124235468796345,-38.21276197941282,Casa de Pedro
142,Manadhoo,MV,81.32000000000006,overcast clouds,5.741521900441498,73.21815842306958,"Sabba Summer Suite , Fodhdhoo Maldives"
165,Departamento de Arauca,CO,76.85600000000002,overcast clouds,6.829029536901956,-71.21665867723013,Residencias Panamá
169,Passagem Franca,BR,76.82000000000006,broken clouds,-6.159286811533448,-43.758649316640415,Hotel Brasil
